row|col|sample|dist|memory(bytes)|avgdist|matrixbuildtime(msecs)|sampletime(msecs)
128|128|1000|0.001|30708514816|0.000000|0.000000|0.000000
128|128|1000|0.01|30708514816|0.232000|0.000000|0.000000
128|128|1000|0.1|30708813824|5.733000|0.000000|0.000000
128|128|1000|0.3|30708809728|16.841999|0.000000|0.000000
128|128|1000|0.5|30708617216|26.423000|0.000000|0.000000
128|128|1000|0.7|30708510720|33.660999|0.000000|0.000000
128|128|1000|0.9|30708105216|39.401001|0.000000|0.000000
128|128|1000|0.1|30708305920|5.733000|0.000000|0.000000
128|128|10000|0.001|30708903936|0.000000|0.000000|20.000000
128|128|10000|0.01|30708506624|0.221200|0.000000|10.000000
128|128|10000|0.1|30708400128|5.721700|0.000000|10.000000
128|128|10000|0.3|30708592640|16.806499|0.000000|20.000000
128|128|10000|0.5|30708477952|26.361500|0.000000|20.000000
128|128|10000|0.7|30708776960|33.254902|0.000000|20.000000
128|128|10000|0.9|30708776960|39.091301|0.000000|20.000000
128|128|10000|0.1|30708772864|5.660000|0.000000|10.000000
128|128|100000|0.001|30708981760|0.000000|0.000000|180.000000
128|128|100000|0.01|30709481472|0.217930|0.000000|170.000000
128|128|100000|0.1|30709088256|5.693550|0.000000|220.000000
128|128|100000|0.3|30709985280|16.693750|0.000000|240.000000
128|128|100000|0.5|30709587968|26.103800|0.000000|250.000000
128|128|100000|0.7|30709886976|33.592339|0.000000|250.000000
128|128|100000|0.9|30709026816|39.535851|0.000000|240.000000
128|128|100000|0.1|30709252096|5.673690|0.000000|220.000000
128|128|1000000|0.001|30709358592|0.000000|0.000000|1720.000000
128|128|1000000|0.01|30709047296|0.217282|0.000000|1810.000000
128|128|1000000|0.1|30709133312|5.692504|0.000000|2230.000000
128|128|1000000|0.3|30709067776|16.704870|0.000000|2400.000000
128|128|1000000|0.5|30708903936|26.175123|0.000000|2430.000000
128|128|1000000|0.7|30709563392|33.668465|0.000000|2430.000000
128|128|1000000|0.9|30709190656|39.625309|0.000000|2450.000000
128|128|1000000|0.1|30709329920|5.695565|0.000000|2210.000000
128|512|1000|0.001|30709690368|0.000000|0.000000|0.000000
128|512|1000|0.01|30709608448|0.211000|0.000000|0.000000
128|512|1000|0.1|30709121024|5.532000|0.000000|0.000000
128|512|1000|0.3|30708670464|16.304001|0.000000|0.000000
128|512|1000|0.5|30709161984|25.731001|0.000000|0.000000
128|512|1000|0.7|30708666368|33.543999|0.000000|10.000000
128|512|1000|0.9|30708666368|38.769001|0.000000|0.000000
128|512|1000|0.1|30708555776|5.617000|0.000000|10.000000
128|512|10000|0.001|30708166656|0.000000|0.000000|40.000000
128|512|10000|0.01|30707961856|0.220100|0.000000|30.000000
128|512|10000|0.1|30708559872|5.678900|0.000000|40.000000
128|512|10000|0.3|30708740096|16.582500|0.000000|40.000000
128|512|10000|0.5|30708641792|25.931801|0.000000|40.000000
128|512|10000|0.7|30708543488|33.343300|0.000000|40.000000
128|512|10000|0.9|30708711424|39.291302|0.000000|40.000000
128|512|10000|0.1|30709145600|5.678900|0.000000|40.000000
128|512|100000|0.001|30709186560|0.000000|0.000000|330.000000
