#dimensions=2; algorithms=0; querynodes=1; conf=0.95; iterations=10; clocks_per_sec=1000000
Method,Samples,A Cluster Size,B Cluster Size,Sum,Variance
SORTED,10,10,10,677,2.45556
BASELINE,10,10,10,42,0.177778
SORTED,10,10,100,6836,753.6
BASELINE,10,10,100,2022,0.177778
SORTED,10,10,1000,41607,3522.23
BASELINE,10,10,1000,92704,25021.8
SORTED,10,10,10000,583429,1.49617e+07
BASELINE,10,10,10000,9277387,1.6559e+07
SORTED,10,100,10,3142,19.0667
BASELINE,10,100,10,943,5.34444
SORTED,10,100,100,6040,1496.89
BASELINE,10,100,100,1850,12.2222
SORTED,10,100,1000,44423,3042.23
BASELINE,10,100,1000,93960,22404.4
SORTED,10,100,10000,540585,218479
BASELINE,10,100,10000,9271036,6.06902e+06
SORTED,10,1000,10,43477,8796.9
BASELINE,10,1000,10,91856,6162.93
SORTED,10,1000,100,45800,7716.44
BASELINE,10,1000,100,92682,10836.2
SORTED,10,1000,1000,84644,10660.7
BASELINE,10,1000,1000,196442,3.55872e+06
SORTED,10,1000,10000,580293,206928
BASELINE,10,1000,10000,9369050,1.54451e+07
SORTED,10,10000,10,543466,155969
BASELINE,10,10000,10,9386645,6.82198e+07
SORTED,10,10000,100,563538,3.07631e+07
BASELINE,10,10000,100,9367676,5.63223e+07
SORTED,10,10000,1000,582715,166843
BASELINE,10,10000,1000,9452064,4.12399e+07
SORTED,10,10000,10000,1080914,591682
BASELINE,10,10000,10000,18561342,1.8206e+07
