#dimensions=2; algorithms=0; querynodes=15; conf=0.8; iterations=15; clocks_per_sec=1000000
Method,Samples,A Cluster Size,B Cluster Size,Time,Variance,Accuracy,Conf
BLOCKING,15,10,10,31576,1.49879e+06,1,0.8
SORTED_TRIANGLE,15,10,10,6279,29.9714,1,0.8
SORTED,15,10,10,9428,50337,1,0.8
BASELINE_TRIANGLE,15,10,10,986,31.781,1,0.8
BLOCKING,15,10,100,139894,925420,1,0.8
SORTED_TRIANGLE,15,10,100,90714,753.114,1,0.8
SORTED,15,10,100,92356,1451.07,1,0.8
BASELINE_TRIANGLE,15,10,100,26539,56409.5,1,0.8
BLOCKING,15,100,10,142367,6.96561e+06,1,0.8
SORTED_TRIANGLE,15,100,10,101917,1771.7,1,0.8
SORTED,15,100,10,103607,2776.27,1,0.8
BASELINE_TRIANGLE,15,100,10,28050,180602,1,0.8
BLOCKING,15,100,100,300350,5.30054e+06,1,0.8
SORTED_TRIANGLE,15,100,100,195168,352226,1,0.8
SORTED,15,100,100,216649,7.71908e+06,1,0.8
BASELINE_TRIANGLE,15,100,100,57045,701507,1,0.8
BLOCKING,15,1000,10,7810664,3.91301e+08,1,0.8
SORTED_TRIANGLE,15,1000,10,1356327,2.23384e+06,1,0.8
SORTED,15,1000,10,1398945,2.5898e+06,1,0.8
BASELINE_TRIANGLE,15,1000,10,2328009,1.35767e+07,1,0.8
BLOCKING,15,10,1000,7034955,1.52514e+08,1,0.8
SORTED_TRIANGLE,15,10,1000,1223897,1.31406e+07,1,0.8
SORTED,15,10,1000,1249943,2.33787e+07,1,0.8
BASELINE_TRIANGLE,15,10,1000,2204056,4.38983e+07,1,0.8
BLOCKING,15,1000,100,8009245,1.27116e+08,1,0.8
SORTED_TRIANGLE,15,1000,100,1461661,2.91306e+07,1,0.8
SORTED,15,1000,100,1463761,2.25344e+06,1,0.8
BASELINE_TRIANGLE,15,1000,100,2337163,1.46505e+06,1,0.8
BLOCKING,15,100,1000,7101717,8.27459e+08,1,0.8
SORTED_TRIANGLE,15,100,1000,1427090,3.0188e+06,1,0.8
SORTED,15,100,1000,1439060,1.63016e+06,1,0.8
BASELINE_TRIANGLE,15,100,1000,2195495,3.47764e+06,1,0.8
BLOCKING,15,1000,1000,14901287,8.26689e+08,1,0.8
SORTED_TRIANGLE,15,1000,1000,2649596,3.30507e+06,1,0.8
SORTED,15,1000,1000,2819320,3.22397e+08,1,0.8
BASELINE_TRIANGLE,15,1000,1000,4523743,5.72457e+07,1,0.8
BLOCKING,15,10000,10,689423003,4.97327e+11,1,0.8
SORTED_TRIANGLE,15,10000,10,49152521,2.40574e+08,1,0.8
SORTED,15,10000,10,83211663,4.58768e+08,1,0.8
BASELINE_TRIANGLE,15,10000,10,229537455,3.16645e+09,1,0.8
BLOCKING,15,10,10000,647934518,6.67112e+11,1,0.8
SORTED_TRIANGLE,15,10,10000,86275799,1.61884e+10,1,0.8
SORTED,15,10,10000,159972745,1.62787e+10,1,0.8
BASELINE_TRIANGLE,15,10,10000,229271603,2.11348e+11,1,0.8
BLOCKING,15,10000,100,687319620,1.07525e+12,1,0.8
SORTED_TRIANGLE,15,10000,100,148498126,1.37777e+10,1,0.8
SORTED,15,10000,100,282183221,1.76679e+10,1,0.8
BASELINE_TRIANGLE,15,10000,100,230159212,7.34936e+10,1,0.8
BLOCKING,15,100,10000,661804445,7.42429e+11,1,0.8
SORTED_TRIANGLE,15,100,10000,160569051,2.53182e+11,1,0.8
SORTED,15,100,10000,309834430,1.78944e+11,1,0.8
BASELINE_TRIANGLE,15,100,10000,225909008,3.26337e+10,1,0.8
BLOCKING,15,10000,1000,713972781,9.27506e+11,1,0.8
SORTED_TRIANGLE,15,10000,1000,116314973,9.45534e+08,1,0.8
SORTED,15,10000,1000,217414631,1.35186e+09,1,0.8
BASELINE_TRIANGLE,15,10000,1000,233722765,5.46006e+09,1,0.8
BLOCKING,15,1000,10000,694903074,4.91801e+11,1,0.8
SORTED_TRIANGLE,15,1000,10000,158244229,3.45082e+09,1,0.8
SORTED,15,1000,10000,313004180,2.08171e+11,1,0.8
BASELINE_TRIANGLE,15,1000,10000,231211471,9.38379e+10,1,0.8
BLOCKING,15,10000,10000,1376357757,1.5921e+12,1,0.8
SORTED_TRIANGLE,15,10000,10000,33093146,6.28554e+08,1,0.8
SORTED,15,10000,10000,33890444,1.63547e+09,1,0.8
BASELINE_TRIANGLE,15,10000,10000,460649852,2.20089e+12,1,0.8
